,location_name,from,to
2746,On N Tripp Ave From W Argyle St To W Ainslie St,N Tripp Ave And W Argyle St,N Tripp Ave And W Ainslie St
2748,On S Essex Ave From E 76th St To E 77th St,S Essex Ave And E 76th St,S Essex Ave And E 77th St
2750,On S Kenneth Ave From W Lexington St To W Fifth Ave,S Kenneth Ave And W Lexington St,S Kenneth Ave And W Fifth Ave
2751,On S Kingston Ave From S Anthony Ave To S South Chicago Ave,S Kingston Ave And S Anthony Ave,S Kingston Ave And S South Chicago Ave
2754,On S Peoria St From W 104th St To W 105th St,S Peoria St And W 104th St,S Peoria St And W 105th St
2755,On S Princeton Ave From W 115th St To W 116th St,S Princeton Ave And W 115th St,S Princeton Ave And W 116th St
2756,On S Racine Ave From W 104th St To W 105th St,S Racine Ave And W 104th St,S Racine Ave And W 105th St
2757,On S State St From E 104th St To E 104th Pl,S State St And E 104th St,S State St And E 104th Pl
2759,On S Eggleston Ave From W 107th St To W 108th St,S Eggleston Ave And W 107th St,S Eggleston Ave And W 108th St
2760,On N Spaulding Ave From W Ardmore Ave To W Hollywood Ave,N Spaulding Ave And W Ardmore Ave,N Spaulding Ave And W Hollywood Ave
2761,On S Wallace St From W 101st St To W 102nd St,S Wallace St And W 101st St,S Wallace St And W 102nd St
2762,On N Ridgeway Ave From N Elston Ave To W Belle Plaine Ave,N Ridgeway Ave And N Elston Ave,N Ridgeway Ave And W Belle Plaine Ave
2763,On E 79th St From S Clyde Ave To S Merrill Ave,E 79th St And S Clyde Ave,E 79th St And S Merrill Ave
2764,On N Artesian Ave From W Pratt Blvd To W North Shore Ave,N Artesian Ave And W Pratt Blvd,N Artesian Ave And W North Shore Ave
2769,On N Rogers Ave From N Honore St To N Clark St,N Rogers Ave And N Honore St,N Rogers Ave And N Clark St
2770,On N Keating Ave From N Kilpatrick Ave To N Caldwell Ave,N Keating Ave And N Kilpatrick Ave,N Keating Ave And N Caldwell Ave
2771,On N Keeler Ave From W Belle Plaine Ave To W Irving Park Rd,N Keeler Ave And W Belle Plaine Ave,N Keeler Ave And W Irving Park Rd
2772,On N Lakewood Ave From W Arthur Ave To W Devon Ave,N Lakewood Ave And W Arthur Ave,N Lakewood Ave And W Devon Ave
2773,On N Laramie Ave From W Ferdinand St To W Lake St,N Laramie Ave And W Ferdinand St,N Laramie Ave And W Lake St
2774,On N Magnolia Ave From N Ridge Ave To W Ardmore Ave,N Magnolia Ave And N Ridge Ave,N Magnolia Ave And W Ardmore Ave
2775,On N Hermitage Ave From W Thome Ave To W Granville Ave,N Hermitage Ave And W Thome Ave,N Hermitage Ave And W Granville Ave
2776,On N Mason Ave From W Washington Blvd To W West End Ave,N Mason Ave And W Washington Blvd,N Mason Ave And W West End Ave
2777,On N Meade Ave From W Montrose Ave To W Berteau Ave,N Meade Ave And W Montrose Ave,N Meade Ave And W Berteau Ave
2778,On N Merrimac Ave From W Argyle St To W Strong St,N Merrimac Ave And W Argyle St,N Merrimac Ave And W Strong St
2780,On N Oak Park Ave From W Grace St To W Addison St,N Oak Park Ave And W Grace St,N Oak Park Ave And W Addison St
2784,On N Orange Ave From W School St To W Belmont Ave,N Orange Ave And W School St,N Orange Ave And W Belmont Ave
2785,On N Parkside Ave From W Lake St To W Corcoran Pl,N Parkside Ave And W Lake St,N Parkside Ave And W Corcoran Pl
2786,On N Paulina St From W Devon Ave To W Highland Ave,N Paulina St And W Devon Ave,N Paulina St And W Highland Ave
2787,On N Magnolia Ave From W Rosemont Ave To W Devon Ave,N Magnolia Ave And W Rosemont Ave,N Magnolia Ave And W Devon Ave
2788,On S Clyde Ave From E 81st St To E 82nd St,S Clyde Ave And E 81st St,S Clyde Ave And E 82nd St
2789,On S Central Park Ave From W 26th St To W 28th St,S Central Park Ave And W 26th St,S Central Park Ave And W 28th St
2792,On N Tripp Ave From W Granville Ave To N Sauganash Ave,N Tripp Ave And W Granville Ave,N Tripp Ave And N Sauganash Ave
2793,On N Wolcott Ave From W Wilson Ave To W Sunnyside Ave,N Wolcott Ave And W Wilson Ave,N Wolcott Ave And W Sunnyside Ave
2794,On N Winchester Ave From W Montrose Ave To W Sunnyside Ave,N Winchester Ave And W Montrose Ave,N Winchester Ave And W Sunnyside Ave
2795,On N Whipple St From N Lincoln Ave To W Ardmore Ave,N Whipple St And N Lincoln Ave,N Whipple St And W Ardmore Ave
2796,On N Western Ave From W Lake St To W Warren Blvd,N Western Ave And W Lake St,N Western Ave And W Warren Blvd
2797,On S Archer Ave From S Ashland Ave To S Poplar Ave,S Archer Ave And S Ashland Ave,S Archer Ave And S Poplar Ave
2798,On S Constance Ave From E 77th St To E 78th St,S Constance Ave And E 77th St,S Constance Ave And E 78th St
2799,On S Vernon Ave From E 104th St To E 105th St,S Vernon Ave And E 104th St,S Vernon Ave And E 105th St
2800,On S Dr Martin Luther King Jr Dr From S Burnside Ave To E 93rd St,S Dr Martin Luther King Jr Dr And S Burnside Ave,S Dr Martin Luther King Jr Dr And E 93rd St
2801,On S Emerald Ave From W 106th St To W 107th St,S Emerald Ave And W 106th St,S Emerald Ave And W 107th St
2803,On S Harvard Ave From W 118th St To W 119th St,S Harvard Ave And W 118th St,S Harvard Ave And W 119th St
2804,On S Kilbourn Ave From W Lexington St To W Fifth Ave,S Kilbourn Ave And W Lexington St,S Kilbourn Ave And W Fifth Ave
2805,On S Kolmar Ave From W Polk St To W Fifth Ave,S Kolmar Ave And W Polk St,S Kolmar Ave And W Fifth Ave
2806,On S Michigan Ave From E 102nd St To E 102nd Pl,S Michigan Ave And E 102nd St,S Michigan Ave And E 102nd Pl
2807,On S Parnell Ave From W 118th St To W 119th St,S Parnell Ave And W 118th St,S Parnell Ave And W 119th St
2808,On S Princeton Ave From W 102nd St To W 102nd Pl,S Princeton Ave And W 102nd St,S Princeton Ave And W 102nd Pl
2811,On N Talman Ave From W Fargo Ave To W Jarvis Ave,N Talman Ave And W Fargo Ave,N Talman Ave And W Jarvis Ave
2812,On S Dearborn St From W Congress Pkwy To W Polk St,S Dearborn St And W Congress Pkwy,S Dearborn St And W Polk St
2814,On N Mason Ave From W Berteau Ave To W Belle Plaine Ave,N Mason Ave And W Berteau Ave,N Mason Ave And W Belle Plaine Ave
2816,On S Wabash Ave From E 111th St To E 110th St,S Wabash Ave And E 111th St,S Wabash Ave And E 110th St
2818,On E 83rd St From S State St To S Dr Martin Luther King Jr Dr,E 83rd St And S State St,E 83rd St And S Dr Martin Luther King Jr Dr
2821,On N Bernard St From W Granville Ave To W Glenlake Ave,N Bernard St And W Granville Ave,N Bernard St And W Glenlake Ave
2822,On N Christiana Ave From W Hollywood Ave To W Bryn Mawr Ave,N Christiana Ave And W Hollywood Ave,N Christiana Ave And W Bryn Mawr Ave
2823,On N Hartland Ct From W Ohio St To W Grand Ave,N Hartland Ct And W Ohio St,N Hartland Ct And W Grand Ave
2825,On N Keeler Ave From W Ainslie St To W Lawrence Ave,N Keeler Ave And W Ainslie St,N Keeler Ave And W Lawrence Ave
2826,On N Kilpatrick Ave From N Knox Ave To N Keating Ave,N Kilpatrick Ave And N Knox Ave,N Kilpatrick Ave And N Keating Ave
2827,On N Rockwell St From W Pratt Blvd To W North Shore Ave,N Rockwell St And W Pratt Blvd,N Rockwell St And W North Shore Ave
2828,On N Lakewood Ave From W Rosemont Ave To W Devon Ave,N Lakewood Ave And W Rosemont Ave,N Lakewood Ave And W Devon Ave
2829,On N Magnolia Ave From W Arthur Ave To W Devon Ave,N Magnolia Ave And W Arthur Ave,N Magnolia Ave And W Devon Ave
2830,On N Mayfield Ave From W Lake St To W Corcoran Pl,N Mayfield Ave And W Lake St,N Mayfield Ave And W Corcoran Pl
2831,On N Melvina Ave From W Montrose Ave To W Berteau Ave,N Melvina Ave And W Montrose Ave,N Melvina Ave And W Berteau Ave
2832,On N Mobile Ave From W Montrose Ave To W Berteau Ave,N Mobile Ave And W Montrose Ave,N Mobile Ave And W Berteau Ave
2833,On N Normandy Ave From W Higgins Ave To W Berwyn Ave,N Normandy Ave And W Higgins Ave,N Normandy Ave And W Berwyn Ave
2837,On N Oliphant Ave From W Pratt Ave To N Olmsted Ave,N Oliphant Ave And W Pratt Ave,N Oliphant Ave And N Olmsted Ave
2839,On N Parkside Ave From W Lake St To W Fulton St,N Parkside Ave And W Lake St,N Parkside Ave And W Fulton St
2840,On N Leclaire Ave From W Chicago Ave To W Erie St,N Leclaire Ave And W Chicago Ave,N Leclaire Ave And W Erie St
2843,On W Lexington St From S Independence Blvd To S Central Park Ave,W Lexington St And S Independence Blvd,W Lexington St And S Central Park Ave
2845,On W North Shore Ave From N Ravenswood Ave To N Hermitage Ave,W North Shore Ave And N Ravenswood Ave,W North Shore Ave And N Hermitage Ave
2849,On W Palatine Ave From N Olcott Ave To N Avondale Ave,W Palatine Ave And N Olcott Ave,W Palatine Ave And N Avondale Ave
2850,On W Roosevelt Rd From S Independence Blvd To S Avers Ave,W Roosevelt Rd And S Independence Blvd,W Roosevelt Rd And S Avers Ave
2852,On W Taylor St From S Loomis St To S Laflin St,W Taylor St And S Loomis St,W Taylor St And S Laflin St
2853,On W Thorndale Ave From N Greenview Ave To N Glenwood Ave,W Thorndale Ave And N Greenview Ave,W Thorndale Ave And N Glenwood Ave
2854,On W Washington Blvd From N Kostner Ave To N Kenton Ave,W Washington Blvd And N Kostner Ave,W Washington Blvd And N Kenton Ave
2856,On W Wilson Ave From N Menard Ave To N Major Ave,W Wilson Ave And N Menard Ave,W Wilson Ave And N Major Ave
2857,E 111th St And S Indiana Ave,E 111th St And S Indiana Ave,
2858,N Oleander Ave And W Grace St,N Oleander Ave And W Grace St,
2859,S Emerald Ave And W 106th St,S Emerald Ave And W 106th St,
2860,On W Jarvis Ave From N Oriole Ave To N Harlem Ave,W Jarvis Ave And N Oriole Ave,W Jarvis Ave And N Harlem Ave
2861,On W Ibsen St From N Oriole Ave To N Odell Ave,W Ibsen St And N Oriole Ave,W Ibsen St And N Odell Ave
2862,On W Granville Ave From N Greenview Ave To N Glenwood Ave,W Granville Ave And N Greenview Ave,W Granville Ave And N Glenwood Ave
2864,On W 118th St From S Parnell Ave To S Normal Ave,W 118th St And S Parnell Ave,W 118th St And S Normal Ave
2865,On W 26th St From S Keeler Ave To S Pulaski Rd,W 26th St And S Keeler Ave,W 26th St And S Pulaski Rd
2866,On W 69th St From S Wallace St To S Parnell Ave,W 69th St And S Wallace St,W 69th St And S Parnell Ave
2867,On W 79th St From S Maplewood Ave To S Western Ave,W 79th St And S Maplewood Ave,W 79th St And S Western Ave
2871,On W Addison St From N Mobile Ave To N Austin Ave,W Addison St And N Mobile Ave,W Addison St And N Austin Ave
2872,On W Ardmore Ave From N New Hampshire Ave To N Newark Ave,W Ardmore Ave And N New Hampshire Ave,W Ardmore Ave And N Newark Ave
2873,On W Chestnut St From N Orleans St To N Orleans St,W Chestnut St And N Orleans St,W Chestnut St And N Orleans St
2874,On W Corcoran Pl From N Menard Ave To N Parkside Ave,W Corcoran Pl And N Menard Ave,W Corcoran Pl And N Parkside Ave
2875,On W Devon Ave From N Greenview Ave To N Paulina St,W Devon Ave And N Greenview Ave,W Devon Ave And N Paulina St
2876,On W Elmdale Ave From N Magnolia Ave To N Broadway,W Elmdale Ave And N Magnolia Ave,W Elmdale Ave And N Broadway
2877,On W Fargo Ave From N Ashland Ave To N Greenview Ave,W Fargo Ave And N Ashland Ave,W Fargo Ave And N Greenview Ave
2878,On W Fitch Ave From N Sacramento Ave To N Francisco Ave,W Fitch Ave And N Sacramento Ave,W Fitch Ave And N Francisco Ave
2880,On W Forest Preserve Ave From N Ozanam Ave To N Oketo Ave,W Forest Preserve Ave And N Ozanam Ave,W Forest Preserve Ave And N Oketo Ave
2881,On W Carroll Ave From N St Louis Ave To N Central Park Ave,W Carroll Ave And N St Louis Ave,W Carroll Ave And N Central Park Ave
2882,W Forest Preserve Ave And N Ottawa Ave,W Forest Preserve Ave And N Ottawa Ave,
2883,On W 115th St From S Yale Ave To S Wentworth Ave,W 115th St And S Yale Ave,W 115th St And S Wentworth Ave
2884,On W Leland Ave From N Linder Ave To N Long Ave,W Leland Ave And N Linder Ave,W Leland Ave And N Long Ave
2885,On W Morse Ave From N Greenview Ave To N Wayne Ave,W Morse Ave And N Greenview Ave,W Morse Ave And N Wayne Ave
2887,On W Oak St From N Wells St To N La Salle Dr,W Oak St And N Wells St,W Oak St And N La Salle Dr
2889,On W Ogden Ave From S Keeler Ave To S Pulaski Rd,W Ogden Ave And S Keeler Ave,W Ogden Ave And S Pulaski Rd
2891,On W Polk St From S Independence Blvd To S Central Park Ave,W Polk St And S Independence Blvd,W Polk St And S Central Park Ave
2892,On W Roosevelt Rd From S Pulaski Rd To S Springfield Ave,W Roosevelt Rd And S Pulaski Rd,W Roosevelt Rd And S Springfield Ave
2893,On W Roosevelt Rd From S Washtenaw Ave To S Western Ave,W Roosevelt Rd And S Washtenaw Ave,W Roosevelt Rd And S Western Ave
2894,On W Thome Ave From N Greenview Ave To N Glenwood Ave,W Thome Ave And N Greenview Ave,W Thome Ave And N Glenwood Ave
2895,On W Van Buren St From S Western Ave To S Leavitt St,W Van Buren St And S Western Ave,W Van Buren St And S Leavitt St
2897,On W Wilcox St From S California Ave To S Washtenaw Ave,W Wilcox St And S California Ave,W Wilcox St And S Washtenaw Ave
2898,On W Windsor Ave From N Menard Ave To N Major Ave,W Windsor Ave And N Menard Ave,W Windsor Ave And N Major Ave
2899,N Natchez Ave And W Catalpa Ave,N Natchez Ave And W Catalpa Ave,
2900,S Albany Ave And W 21st Pl,S Albany Ave And W 21st Pl,
2901,On W Institute Pl From N Orleans St To N Wells St,W Institute Pl And N Orleans St,W Institute Pl And N Wells St
2902,S Harvard Ave And W 81st St,S Harvard Ave And W 81st St,
2903,On W Greenleaf Ave From N Francisco Ave To N California Ave,W Greenleaf Ave And N Francisco Ave,W Greenleaf Ave And N California Ave
2906,On W 26th St From S Lawndale Ave To S Homan Ave,W 26th St And S Lawndale Ave,W 26th St And S Homan Ave
2907,On W 77th St From S Wallace St To S Fielding Ave,W 77th St And S Wallace St,W 77th St And S Fielding Ave
2909,On W 94th St From S Longwood Dr To S Vanderpoel Ave,W 94th St And S Longwood Dr,W 94th St And S Vanderpoel Ave
2910,On W 95th St From S Normal Ave To S Eggleston Ave,W 95th St And S Normal Ave,W 95th St And S Eggleston Ave
2911,On W Addison St From N Karlov Ave To N Pulaski Rd,W Addison St And N Karlov Ave,W Addison St And N Pulaski Rd
2912,On W Addison St From N Page Ave To N Pacific Ave,W Addison St And N Page Ave,W Addison St And N Pacific Ave
2913,On W Arthur Ave From N Sheridan Rd To N Glenwood Ave,W Arthur Ave And N Sheridan Rd,W Arthur Ave And N Glenwood Ave
2915,On W Columbia Ave From N Sheridan Rd To N Glenwood Ave,W Columbia Ave And N Sheridan Rd,W Columbia Ave And N Glenwood Ave
2916,On W Cullom Ave From N Linder Ave To N Long Ave,W Cullom Ave And N Linder Ave,W Cullom Ave And N Long Ave
2917,On W Devon Ave From N Ridge Ave To N Ravenswood Ave,W Devon Ave And N Ridge Ave,W Devon Ave And N Ravenswood Ave
2918,On W Estes Ave From N Sacramento Ave To N California Ave,W Estes Ave And N Sacramento Ave,W Estes Ave And N California Ave
2919,On W Fitch Ave From N Francisco Ave To N California Ave,W Fitch Ave And N Francisco Ave,W Fitch Ave And N California Ave
2920,On W Flournoy St From S Central Ave To S Homan Ave,W Flournoy St And S Central Ave,W Flournoy St And S Homan Ave
2921,On W Forest Preserve Ave From N Osage Ave To N Ozanam Ave,W Forest Preserve Ave And N Osage Ave,W Forest Preserve Ave And N Ozanam Ave
2922,On W Gladys Ave From S Kolmar Ave To S Kostner Ave,W Gladys Ave And S Kolmar Ave,W Gladys Ave And S Kostner Ave
2923,W Chestnut St And N Orleans St,W Chestnut St And N Orleans St,
2964,S La Salle St And W 105th St,S La Salle St And W 105th St,
3084,10400-10450 S State St,10400 S State St,10450 S State St
3126,On E 69th Pl From S Dorchester Ave To S Stony Island Ave,E 69th Pl And S Dorchester Ave,E 69th Pl And S Stony Island Ave
3127,On N Melvina Ave From W Catalpa Ave To W Rascher Ave,N Melvina Ave And W Catalpa Ave,N Melvina Ave And W Rascher Ave
3128,On N Monitor Ave From N Marmora Ave To W Catalpa Ave,N Monitor Ave And N Marmora Ave,N Monitor Ave And W Catalpa Ave
3129,On N Mozart St From W Ainslie St To W Argyle St,N Mozart St And W Ainslie St,N Mozart St And W Argyle St
3130,On N Neva Ave From W Diversey Ave To W Schubert Ave,N Neva Ave And W Diversey Ave,N Neva Ave And W Schubert Ave
3131,On N Northcott Ave From W Hurlbut St To W Somerset Ave,N Northcott Ave And W Hurlbut St,N Northcott Ave And W Somerset Ave
3132,On N Ottawa Ave From W Ardmore Ave To W Thorndale Ave,N Ottawa Ave And W Ardmore Ave,N Ottawa Ave And W Thorndale Ave
3133,On N Ottawa Ave From W Rosedale Ave To W Peterson Ave,N Ottawa Ave And W Rosedale Ave,N Ottawa Ave And W Peterson Ave
3134,On N Ozanam Ave From N Kennedy Express Er To W Bryn Mawr Ave,N Ozanam Ave And N Kennedy Express Er,N Ozanam Ave And W Bryn Mawr Ave
3135,On N Parkside Ave From W West End Ave To W Fulton St,N Parkside Ave And W West End Ave,N Parkside Ave And W Fulton St
3136,On N Racine Ave From W Hubbard St To W Kinzie St,N Racine Ave And W Hubbard St,N Racine Ave And W Kinzie St
3137,On N Sacramento Ave From W Logan Blvd To W Altgeld St,N Sacramento Ave And W Logan Blvd,N Sacramento Ave And W Altgeld St
3138,On N Sangamon St From N Milwaukee Ave To W Huron St,N Sangamon St And N Milwaukee Ave,N Sangamon St And W Huron St
3139,On N Seminary Ave From W Dickens Ave To W Armitage Ave,N Seminary Ave And W Dickens Ave,N Seminary Ave And W Armitage Ave
3140,On N Springfield Ave From W Ohio St To W Ferdinand St,N Springfield Ave And W Ohio St,N Springfield Ave And W Ferdinand St
3141,On N Talman Ave From W Logan Blvd To W Schubert Ave,N Talman Ave And W Logan Blvd,N Talman Ave And W Schubert Ave
3142,On N Troy St From W Chicago Ave To W Ohio St,N Troy St And W Chicago Ave,N Troy St And W Ohio St
3143,On N Wabash Ave From E Grand Ave To E Superior St,N Wabash Ave And E Grand Ave,N Wabash Ave And E Superior St
3144,On N Wabash Ave From W West End Ave  To W Fulton St,N Wabash Ave And W West End Ave ,N Wabash Ave And W Fulton St
3145,On N Washtenaw Ave From W Albion Ave To W Devon Ave,N Washtenaw Ave And W Albion Ave,N Washtenaw Ave And W Devon Ave
3146,On N Washtenaw Ave From W Birchwood Ave To W Fargo Ave,N Washtenaw Ave And W Birchwood Ave,N Washtenaw Ave And W Fargo Ave
3147,On N Washtenaw Ave From W Thorndale Ave To W Ardmore Ave,N Washtenaw Ave And W Thorndale Ave,N Washtenaw Ave And W Ardmore Ave
3148,On S Rockwell St From W 54th St To W 55th St,S Rockwell St And W 54th St,S Rockwell St And W 55th St
3149,On N Willard Ct From W Superior St To W Huron St,N Willard Ct And W Superior St,N Willard Ct And W Huron St
3150,On S Aberdeen St From W 77th St To W 79th St,S Aberdeen St And W 77th St,S Aberdeen St And W 79th St
3151,On N Meade Ave From N Avondale Ave To W Balmoral Ave,N Meade Ave And N Avondale Ave,N Meade Ave And W Balmoral Ave
3152,On N Mcvicker Ave From N Northwest Hwy To W Bryn Mawr Ave,N Mcvicker Ave And N Northwest Hwy,N Mcvicker Ave And W Bryn Mawr Ave
3153,On S Aberdeen St From W 85th St To W 87th St,S Aberdeen St And W 85th St,S Aberdeen St And W 87th St
3154,On N Marmora Ave From W Bryn Mawr Ave To W Catalpa Ave,N Marmora Ave And W Bryn Mawr Ave,N Marmora Ave And W Catalpa Ave
3155,On N May St From W Kinzie St To W Hubbard St,N May St And W Kinzie St,N May St And W Hubbard St
3156,On E 73rd St From S Cottage Grove Ave To S South Chicago Ave,E 73rd St And S Cottage Grove Ave,E 73rd St And S South Chicago Ave
3158,On E 75th St From S Drexel Ave To S Ingleside Ave,E 75th St And S Drexel Ave,E 75th St And S Ingleside Ave
3159,On N Aberdeen St From W Kinzie St To W Hubbard St,N Aberdeen St And W Kinzie St,N Aberdeen St And W Hubbard St
3160,On N Albany Ave From W Carmen Ave To W Argyle St,N Albany Ave And W Carmen Ave,N Albany Ave And W Argyle St
3161,On N Avers Ave From W Ohio St To W Ferdinand St,N Avers Ave And W Ohio St,N Avers Ave And W Ferdinand St
3162,On N Canfield Ave From W Bryn Mawr Ave To W Balmoral Ave,N Canfield Ave And W Bryn Mawr Ave,N Canfield Ave And W Balmoral Ave
